mean, 192000.0d0, 192000.0d0, 3.0d0 
0001, 214152.80865742092d0, 213901.25189451166d0, 3.0095733736291095d0 
0002, 191135.0700933565d0, 179009.72666213976d0, 3.2661485445333334d0 
0003, 193177.86819540724d0, 171657.03507822414d0, 2.801272888037941d0 
0004, 204991.4429239049d0, 186893.235952917d0, 3.4003561430445517d0 
0005, 188295.5421064968d0, 203325.8853573238d0, 1.9842813475192016d0 
0006, 212540.0292181723d0, 199872.7624885193d0, 2.480976574567193d0 
0007, 162087.62353192177d0, 221507.59517013203d0, 2.632885296277464d0 
0008, 206283.2657651922d0, 173014.01688598486d0, 2.9071126040034647d0 
0009, 192889.75170738396d0, 219694.94059075706d0, 1.9830948148042196d0 
0010, 156538.6566073765d0, 196991.47348495133d0, 3.0554873143275953d0 
0011, 164000.64344679358d0, 205532.3029374815d0, 3.951859757672602d0 
0012, 193312.48903685325d0, 196491.24099079793d0, 2.476707893300239d0 
0013, 165615.2238259438d0, 188167.89803438532d0, 2.8192511719209716d0 
0014, 219913.02431816142d0, 203095.62095486867d0, 2.0629252159536198d0 
0015, 211018.49952645245d0, 200345.19732254464d0, 2.7929356493274207d0 
0016, 186711.01258091253d0, 203465.61707249618d0, 3.0894703492453273d0 
0017, 227440.07088259314d0, 178928.7760826075d0, 3.3886237404575064d0 
0018, 203779.99780128401d0, 188757.02074768412d0, 2.5379778054267055d0 
0019, 226221.19746452008d0, 187958.65304420184d0, 3.187348613810334d0 
0020, 206471.08978024672d0, 174653.74570948817d0, 2.38728737619623d0 
0021, 197315.71956535827d0, 213540.8927869617d0, 3.3608417259440935d0 
0022, 155316.54307586793d0, 185036.76957641772d0, 3.551360267711363d0 
0023, 197002.19278244715d0, 161585.58393073478d0, 3.0073095025746346d0 
0024, 185674.999544011d0, 207637.91793479037d0, 3.473314051177292d0 
0025, 175082.18155370755d0, 174346.32130758828d0, 2.4210504488174265d0 
0026, 206774.01388854906d0, 192425.2985501153d0, 2.3163522185422147d0 
0027, 177143.77034920864d0, 206703.83528500004d0, 3.062599238311905d0 
0028, 199598.08990647085d0, 177404.6940744462d0, 2.991273710096802d0 
0029, 219193.17342983125d0, 151956.01066725678d0, 3.286507970615112d0 
0030, 204367.32646914513d0, 204998.57124275985d0, 2.9411976855449957d0 
0031, 202906.79682003983d0, 202213.5218595465d0, 3.4453952281658506d0 
0032, 206266.30998581313d0, 212299.30041919093d0, 3.9267337600676306d0 
0033, 169212.53525725415d0, 190228.13703298423d0, 3.4611700348664534d0 
0034, 176351.29582102748d0, 179666.71027163617d0, 3.2240580341004654d0 
0035, 202089.7167092983d0, 210156.73928470156d0, 3.5214774259693744d0 
0036, 188885.91304796416d0, 165950.57709130758d0, 2.7129344659606134d0 
0037, 213326.6703439417d0, 193521.7206841217d0, 3.5397487467897624d0 
0038, 179936.7061843532d0, 174445.76733225654d0, 2.58800173330365d0 
0039, 205943.59561277027d0, 200306.4124131304d0, 2.2681254670374407d0 
0040, 203312.8859749445d0, 198268.71928734175d0, 3.581825130519707d0 
0041, 211992.28237704598d0, 184854.5710540831d0, 3.1384244703736375d0 
0042, 226128.91992242303d0, 202402.57319048414d0, 3.565366727112712d0 
0043, 187733.8656141981d0, 171890.73591686724d0, 3.0452506874175747d0 
0044, 211778.7723405692d0, 217640.36054940557d0, 2.700452893330086d0 
0045, 194482.6658252322d0, 188125.6505129919d0, 3.366455606540323d0 
